Publisher Name,Publisher Registry Id,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,Time lag
ACTIONAID INTERNATIONAL KENYA,aaik,7,4,4,5,3,2,1,3,2,1,2,1,One month
ADD International (Action on Disability and Development),addinternational,7,7,6,9,9,6,11,7,3,6,6,0,One month
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,112,64,96,67,102,147,83,68,83,89,59,104,One month
ActionAid UK,aauk,12,4,1,18,11,15,17,10,7,14,13,0,One month
African Development Bank,afdb,691,1209,863,682,1184,750,839,1256,889,206,335,380,One month
Aga Khan Foundation (United Kingdom),akfuk73,11,0,4,10,0,0,1,6,0,3,4,0,One month
Agence Française de Développement,afd,0,0,0,0,0,0,0,89,230,617,0,116,One month
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,24,6,10,17,11,1,21,6,5,31,1,0,One month
Asian Development Bank,asdb,3491,3510,3558,3561,3558,3590,3608,3593,3611,3692,3640,3636,One month
Avocats Sans Frontières,asf,0,1,0,0,0,0,0,0,0,5,0,1,One month
Belgian Development Cooperation,be-dgd,39,25,36,27,42,34,49,51,75,204,93,45,One month
Bill & Melinda Gates Foundation,bmgf,254,262,192,218,179,204,208,301,362,63,111,125,One month
CGIAR,cgiar,76,94,78,74,66,32,52,32,12,22,8,0,One month
CISU,cisu,33,21,22,65,26,38,53,61,62,69,66,58,One month
Canada - Global Affairs Canada | Affaires mondiales Canada,gac-amc,476,108,88,99,100,105,143,88,133,166,92,120,One month
Catholic Agency For Overseas Development (CAFOD),cafod,226,100,72,132,104,114,89,126,107,162,102,0,One month
Center for Church-Based Development,cku,23,13,24,34,27,22,28,14,22,38,21,23,One month
Centro de Aprendizagem e Capacitação da Sociedade Civil,cesc,0,0,0,0,1,3,1,2,1,2,0,1,One month
Chemonics International Inc.,chemonics,12,20,9,10,4,3,5,3,1,1,1,0,One month
Christian Aid,caid,332,70,110,119,77,105,161,141,121,115,6,1,One month
Cordaid,cordaid,70,36,15,49,20,16,46,10,17,47,2,0,One month
Danish Refugee Council,drc,82,4,2,43,6,2,75,0,2,6,2,1,One month
"Denmark - Ministry of Foreign Affairs, Danida",danida,1136,1251,928,1303,981,853,875,817,836,1845,578,588,One month
Development Initiatives Poverty Research,dipr,350,344,348,398,384,280,297,331,331,257,210,197,One month
Disabled People's Organisations Denmark,dpod,2,2,4,2,1,7,5,8,6,11,9,5,One month
European Bank for Reconstruction and Development,ebrd,63,76,45,75,62,65,76,58,87,155,35,0,One month
European Commission - Humanitarian Aid & Civil Protection,ec-echo,102,294,737,972,730,411,286,311,313,294,179,166,One month
European Commission - International Partnerships,ec-intpa,632,538,617,642,662,568,529,557,725,1470,335,445,One month
European Commission - Neighbourhood and Enlargement Negotiations,ec-near,265,232,211,269,254,187,204,229,270,815,171,147,One month
European Commission - Service for Foreign Policy Instruments,ec-fpi,126,35,49,40,40,44,49,53,65,104,38,40,One month
Finland - Ministry for Foreign Affairs,finland_mfa,66,62,53,106,61,38,79,78,116,288,90,79,One month
France - Ministry for Europe and Foreign Affairs,france,18,20,19,2,0,6,0,1,4,0,1,2,One month
GALZ,galz,0,0,0,0,0,0,0,0,0,1,1,0,One month
GEF Secretariat,gef,21,163,23,59,31,91,769,22,19,44,20,26,One month
"Gavi, the vaccine alliance",gavi,174,310,242,155,244,221,216,435,268,1103,1051,433,One month
Geneva International Centre for Humanitarian Demining,gichd,10,0,0,11,0,0,10,1,0,10,1,0,One month
Germany - Ministry for Economic Cooperation and Development,bmz,319,296,174,376,285,227,438,294,653,1368,241,5925,One month
Germany GIZ Non BMZ,giz,8,0,0,2,2,0,0,4,2,0,4,2,One month
Global Fund for Community Foundations,gfcf,0,0,0,0,0,0,0,1,0,1,1,1,One month
Handicap International UK,hiuk,27,11,17,12,13,1,6,4,1,8,1,5,One month
HelpAge International UK,ageintl,1,5,1,0,6,5,5,0,2,2,7,0,One month
ICCO Cooperation,icco-cooperation,4,14,7,6,2,2,19,7,11,37,2,1,One month
INTRAC,intrac,1,1,1,1,2,1,2,1,1,2,1,1,One month
Initiative Sankofa d'Afrique de l'Ouest,isdao,0,0,0,0,0,0,10,16,64,57,3,0,One month
Inter-American Development Bank,iadb,436,463,496,508,324,422,461,468,536,583,280,429,One month
International Development Law Organization (IDLO),idlo,68,13,17,88,11,6,80,11,17,82,3,7,One month
International Federation of the Red Cross and Red Crescent (IFRC),ifrcrcs,3028,2471,2184,2218,1965,1652,1397,1034,795,822,247,0,One month
International Finance Corporation,ifcwbg,19,15,19,87,7,6,9,7,7,2,1,0,One month
International Fund for Agricultural Development (IFAD),ifad,193,158,146,121,160,111,115,155,133,316,73,78,One month
International Indigenous Women Forum,fimi_iiwf_2019,0,1,0,0,1,0,3,0,0,2,2,0,One month
International Organization for Migration (IOM),iom,67,61,48,44,54,38,72,48,44,43,32,2,One month
Internews Europe,ieu,1,0,0,0,0,0,0,0,0,1,0,1,One month
King Salman Humanitarian Aid and Relief Centre,ksrelief291,52,11,10,25,17,5,3,2,16,4,2,0,One month
Link Community Development International,lcdi_admin,1,5,0,1,5,0,1,4,0,1,6,0,One month
MannionDaniels,manniondaniels,60,15,42,114,30,42,106,20,7,3,0,6,One month
Mwatana for Human Rights,mwatana,0,0,0,0,1,1,0,1,0,1,0,2,One month
Netherlands - Ministry of Foreign Affairs,minbuza_nl,194,235,238,240,288,238,325,343,716,1176,125,153,One month
Netherlands Enterprise Agency (RVO),rvo,170,175,175,244,298,159,182,240,286,482,90,131,One month
