Publisher Name,Publisher Registry Id,Transaction - Commitment (with valid data),Transaction - Disbursement or Expenditure (with valid data),Transaction - Traceability (with valid data),Budget (with valid data),Average (with valid data),Transaction - Commitment (with any data),Transaction - Disbursement or Expenditure (with any data),Transaction - Traceability (with any data),Budget (with any data),Average (with any data)
50 Eight Limited,fifty_eight,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,0.0,50.0,0.0,100.0,37.5,0.0,50.0,0.0,100.0,37.5
Aasaman Nepal,aasaman,-,-,-,-,0.0,-,-,-,-,0.0
ABAAD - Resource Center for Gender Equality,arcfge,15.384615384615385,100.0,100.0,92.3076923076923,76.92307692307692,15.384615384615385,100.0,100.0,92.3076923076923,76.92307692307692
Abaseen Foundation UK,abaseen,-,-,-,-,0.0,-,-,-,-,0.0
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,50.0,50.0,100.0,100.0,75.0,50.0,50.0,100.0,100.0,75.0
Able Child Africa,ablechildafrica,-,-,-,-,0.0,-,-,-,-,0.0
Abt Associates Inc,abt,50.0,100.0,0.0,50.0,50.0,50.0,100.0,0.0,100.0,62.5
Abt Britain Limited,abtbritain,0.0,0.0,75.0,100.0,43.75,0.0,0.0,75.0,100.0,43.75
Academy for Health Development (AHEAD),ahead,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Académie de recherche et d'enseignement supérieur,ares,-,-,-,-,0.0,-,-,-,-,0.0
Accelerator Nepal,acceleratornepal,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Access to Medicine Foundation,atmf,100.0,-,0.0,100.0,50.0,100.0,-,0.0,100.0,50.0
Access to Seeds Foundation,atsf,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0
Accountability Lab,alab,50.0,50.0,100.0,100.0,75.0,50.0,50.0,100.0,100.0,75.0
Accountable Now,accountablenow,-,-,-,-,0.0,-,-,-,-,0.0
Acid Survivors Foundation,_admin,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
ACODEV,acodev,100.0,100.0,-,100.0,75.0,100.0,100.0,-,100.0,75.0
Across,across,-,-,-,-,0.0,-,-,-,-,0.0
ACT Alliance,act_alliance,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
act4africa,act4africa,-,-,-,-,0.0,-,-,-,-,0.0
ACTED,acted,0.0,0.0,50.0,50.0,25.0,0.0,0.0,50.0,50.0,25.0
ACTION AGAINST HUNGER SPAIN,acfspain,100.0,100.0,66.66666666666666,100.0,91.66666666666666,100.0,100.0,66.66666666666666,100.0,91.66666666666666
Action Against Hunger UK,acf,0.0,96.29629629629629,14.285714285714285,100.0,52.645502645502646,0.0,96.29629629629629,14.285714285714285,100.0,52.645502645502646
Action Against Hunger USA,aahusa,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
Action Canada for Sexual Health and Rights,acfshr,100.0,100.0,0.0,100.0,75.0,100.0,100.0,0.0,100.0,75.0
Action Contre la Faim,acf-fr,-,-,-,-,0.0,-,-,-,-,0.0
ActionAid Bangladesh,aab,71.42857142857143,100.0,0.0,100.0,67.85714285714286,71.42857142857143,100.0,0.0,100.0,67.85714285714286
