Publisher Name,Publisher Registry Id,Version (with valid data),Reporting Organisation (with valid data),IATI Identifier (with valid data),Participating Organisation (with valid data),Title (with valid data),Description (with valid data),Status (with valid data),Activity Date (with valid data),Sector (with valid data),Country or Region (with valid data),Average (with valid data),Version (with any data),Reporting Organisation (with any data),IATI Identifier (with any data),Participating Organisation (with any data),Title (with any data),Description (with any data),Status (with any data),Activity Date (with any data),Sector (with any data),Country or Region (with any data),Average (with any data)
50 Eight Limited,fifty_eight,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Aasaman Nepal,aasaman,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,0.0
ABAAD - Resource Center for Gender Equality,arcfge,100.0,100.0,100.0,78.57142857142857,100.0,100.0,100.0,100.0,100.0,92.85714285714286,97.14285714285714,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.85714285714286,99.28571428571429
Abaseen Foundation UK,abaseen,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,0.0
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Able Child Africa,ablechildafrica,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,0.0
Abt Associates Inc,abt,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Abt Britain Limited,abtbritain,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,97.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Academy for Health Development (AHEAD),ahead,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Académie de recherche et d'enseignement supérieur,ares,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,0.0
